,chunk,chunk,chunk,chunk,chunk,chunk,chunk,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error
,key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
0,[0:145],0,0,145,2006-01-01,2006-06-01,reference,0.033548039835374896,0.45502743834634746,0.5556715578524721,0.3543833188402228,0.5978770822908237,0.38759002412486465,False
1,[146:291],1,146,291,2006-06-01,2006-11-01,reference,0.033548039835374896,0.45451645902952265,0.5551605785356474,0.35387233952339797,0.5978770822908237,0.38759002412486465,False
2,[292:437],2,292,437,2006-11-01,2007-06-01,reference,0.033548039835374896,0.5010881745213733,0.6017322940274981,0.40044405501524866,0.5978770822908237,0.38759002412486465,False
3,[438:583],3,438,583,2007-06-01,2007-09-01,reference,0.033548039835374896,0.5233671515115697,0.6240112710176944,0.422723032005445,0.5978770822908237,0.38759002412486465,False
4,[584:729],4,584,729,2007-09-01,2008-05-01,reference,0.033548039835374896,0.5577877005444675,0.6584318200505922,0.4571435810383428,0.5978770822908237,0.38759002412486465,False
5,[730:875],5,730,875,2008-05-01,2008-08-01,reference,0.033548039835374896,0.4548979715877585,0.5555420910938832,0.35425385208163385,0.5978770822908237,0.38759002412486465,False
6,[876:1021],6,876,1021,2008-08-01,2009-05-01,reference,0.033548039835374896,0.47468329800957837,0.575327417515703,0.3740391785034537,0.5978770822908237,0.38759002412486465,False
7,[1022:1167],7,1022,1167,2009-05-01,2009-07-01,reference,0.033548039835374896,0.4846834465336319,0.5853275660397566,0.3840393270275072,0.5978770822908237,0.38759002412486465,False
8,[1168:1313],8,1168,1313,2009-07-01,2010-03-01,reference,0.033548039835374896,0.5397743014133944,0.6404184209195192,0.43913018190726977,0.5978770822908237,0.38759002412486465,False
9,[1314:1459],9,1314,1459,2010-03-01,2010-07-01,reference,0.033548039835374896,0.48150959058079856,0.5821537100869233,0.3808654710746739,0.5978770822908237,0.38759002412486465,False
